0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
17   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/rob/web/playing/backlight_play/jetty/contexts at interval 0
21   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/rob/web/playing/backlight_play/jetty/contexts/solr.xml
56   [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/rob/web/playing/backlight_play/jetty/webapps/solr.war!/ to /home/rob/web/playing/backlight_play/jetty/solr-webapp/webapp
1101 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
16542 [qtp1402652377-14] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={wt=xml&version=2.2} {add=[00282214, 00282371, 00313831, 00314247, 43037890, 53029833, 77826928, 78908283, 79930185, 85910001, ... (30 adds)]} 0 315
16581 [qtp1402652377-14] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
16703 [qtp1402652377-14] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=/home/rob/web/playing/backlight_play/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
	commit{dir=/home/rob/web/playing/backlight_play/jetty/solr/blacklight-core/data/index,segFN=segments_2,generation=2}
16703 [qtp1402652377-14] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 2
16723 [qtp1402652377-14] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@6b06eae3[blacklight-core] main
16725 [qtp1402652377-14] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
16726 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Building spell index for spell checker: default
16911 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Building spell index for spell checker: author
16957 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Building spell index for spell checker: subject
17021 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Building spell index for spell checker: title
17126 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@6b06eae3[blacklight-core] main{StandardDirectoryReader(segments_1:3:nrt _0(4.10.3):C30)}
17126 [qtp1402652377-14] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=xml&waitFlush=true&version=2.2} {commit=} 0 545
36121 [qtp1402652377-15] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=pub_date,memSize=4548,tindexSize=44,time=1,phase1=1,nTerms=22,bigTerms=1,termInstances=26,uses=0}
